,accessionmethod,accessionyear,accesslevel,century,classification,classificationid,colorcount,commentary,contact,contextualtextcount,copyright,creditline,culture,datebegin,dated,dateend,dateoffirstpageview,dateoflastpageview,department,description,dimensions,division,edition,exhibitioncount,groupcount,id,imagecount,imagepermissionlevel,labeltext,lastupdate,markscount,mediacount,medium,objectid,objectnumber,people,peoplecount,period,periodid,primaryimageurl,provenance,publicationcount,rank,relatedcount,signed,standardreferencenumber,state,style,technique,techniqueid,title,titlescount,totalpageviews,totaluniquepageviews,url,verificationlevel,verificationleveldescription
0,Bequest,1979.0,1,6th-4th century BCE,Vessels,57,9,,am_asianmediterranean@harvard.edu,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Frances L. Hofer",Iranian,-700,6th-4th century BCE,-300,2009-07-03,2018-11-03,Department of Ancient and Byzantine Art & Numismatics,"Hammered from a single sheet of metal, this silver phiale (libation bowl) has a shallow central navel or omphalos and is decorated with a pattern of radiating petals or leaves and, inserted between them, 14 lobes rendered in repoussé. The tips of the petals split to form an arch above each lobe, and a small upside-down teardrop appears where they split, as if growing from a calyx of leaves. There is a centering mark on the undersaide of the omphalos, and there are fine horizontal striations especially on the exterior of the rim. 

Black and brown patina with patches of green; crack in one lobe.","4.7 × 16.9 cm, 44.67 g (1 7/8 × 6 5/8 in.)
Thickness of wall at rim: 0.1 cm (1/16 in.)
Weight: 280 grams",Asian and Mediterranean Art,,3,1,289284,6,0,,2018-11-06T04:18:47-0500,0,0,Silver,289284,1979.357,,0,Achaemenid period,3247.0,https://nrs.harvard.edu/urn-3:HUAM:764512,"Frances L. Hofer, Cambridge, MA, (by 1979), bequest; to Fogg Art Museum, 1979.",0,98294,0,,,,,Hammered,2519.0,Shallow Bowl,1,219,186,https://www.harvardartmuseums.org/collections/object/289284,4,"Best. Object is extensively researched, well described and information is vetted"
1,,,1,2nd century CE,Mosaics,149,0,,,0,,"Worcester Art Museum, Worcester, MA, Excavation of Antioch and Vicinity funded by the bequests of the Reverend Dr. Austin S. Garver and Sarah C. Garver, 1933.36",Roman,95,2nd century CE,205,2018-08-17,2018-11-03,Department of Ancient and Byzantine Art & Numismatics,,"186.4 × 184 × 7.6 cm (73 3/8 × 72 7/16 × 3 in.)
frame: 188 × 185.4 × 8.9 cm (74 × 73 × 3 1/2 in.)",,,1,0,355859,1,0,,2018-11-06T04:29:41-0500,0,0,"Marble, limestone, and glass tesserae",355859,TL41953,,0,Roman Imperial period,786.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261086,,0,266990,0,,,,,,,Mosaic depicting the drinking contest between Herakles and Dionysos.,1,40,32,https://www.harvardartmuseums.org/collections/object/355859,0,Unchecked. Object information has not been verified for completeness and has not been vetted
2,,,1,6th century BCE,Vessels,57,0,,,0,,"British Museum, 1876,0328.5",Greek,-525,520-500 BCE,-495,2018-07-26,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,21.6 × 13.7 cm (8 1/2 × 5 3/8 in.),,,1,0,355868,1,0,,2018-11-06T04:29:41-0500,0,0,Terracotta,355868,TL41957.4,,0,Archaic period,928.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261095,,0,266998,0,,,,Black-figure,Black-figure,7318.0,Donkey head kantharos depicting Dionysos and his entourage,1,26,21,https://www.harvardartmuseums.org/collections/object/355868,0,Unchecked. Object information has not been verified for completeness and has not been vetted
3,,,1,1st-2nd century CE,Vessels,57,0,,,0,,"British Museum, Bequest of James Woodhouse, 1868,0110.510",Roman,-5,1st-2nd century CE,205,2018-08-20,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,16.5 × 11.4 cm (6 1/2 × 4 1/2 in.),,,1,0,355870,1,0,,2018-11-06T04:29:42-0500,0,0,Glass,355870,TL41957.6,,0,Roman Imperial period,786.0,https://nrs.harvard.edu/urn-3:HUAM:LEG261097,,0,267000,0,,,,,,,Footed rhyton with horned head,1,16,14,https://www.harvardartmuseums.org/collections/object/355870,0,Unchecked. Object information has not been verified for completeness and has not been vetted
4,,,1,6th century BCE,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, Fletcher Fund, 1954 (54.3.3)",Iranian,-605,6th century BCE,-495,2018-08-07,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,"17 cm (6 11/16 in.)
966.6 g",,,1,0,356326,1,0,,2018-11-06T04:29:46-0500,0,0,Gold,356326,TL41960.5,,0,,,https://nrs.harvard.edu/urn-3:HUAM:LEG267710,,0,267015,0,,,,,,,Beaker with the forepart of a crested and winged lion,1,20,18,https://www.harvardartmuseums.org/collections/object/356326,0,Unchecked. Object information has not been verified for completeness and has not been vetted
5,,,1,5th century,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, Gift of Norbert Schimmel Trust, 1989 (1989.281.30)",Achaemenid,-505,Early to mid 5th century BCE,-395,2018-08-07,2018-11-01,Department of Ancient and Byzantine Art & Numismatics,,20 × 12 × 12.3 cm (7 7/8 × 4 3/4 × 4 13/16 in.),,,1,0,356328,1,0,,2018-11-06T04:29:46-0500,0,0,Silver,356328,TL41960.7,,0,Achaemenid period,3247.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267712,,0,267017,0,,,,,,,Rhyton with the forepart of a ram,1,20,17,https://www.harvardartmuseums.org/collections/object/356328,0,Unchecked. Object information has not been verified for completeness and has not been vetted
6,,,1,5th century BCE,Vessels,57,0,,,0,,"The Metropolitan Museum of Art, Rogers Fund, 1907 (07.286.69)",Greek,-495,490-480 BCE,-475,2018-08-20,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,32.4 × 14.6 cm (12 3/4 × 5 3/4 in.),,,1,0,356333,1,0,,2018-11-06T04:29:46-0500,0,0,Terracotta,356333,TL41960.12,"[{'alphasort': 'Berlin Painter', 'birthplace': None, 'name': 'The Berlin Painter', 'prefix': None, 'personid': 27645, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': 'Greek', 'displaydate': '500 BCE - 470 BCE', 'deathplace': None, 'displayname': 'The Berlin Painter'}]",1,"Classical period, Early",906.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267717,,0,267022,0,,,,Red-figure,Red-figure,7317.0,Amphora depicting satyr with wineskin and drinking horn,1,9,8,https://www.harvardartmuseums.org/collections/object/356333,0,Unchecked. Object information has not been verified for completeness and has not been vetted
7,,,1,6th century,Ritual Implements,146,0,,,0,,"Museum of Fine Arts, Boston. Gift of Denman Waldo Ross and Gift of G. M. Lane",Chinese,545,550-577 CE,582,2018-08-20,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,64.7 × 115.8 × 10 cm (25 1/2 × 45 9/16 × 3 15/16 in.),,,1,0,356338,1,0,,2018-11-06T04:29:46-0500,0,0,Marble,356338,TL41961.4,,0,"Northern Qi dynasty, 550–577",7497.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267722,,0,267027,0,,,,,,,Back panel of a funerary bed,1,11,9,https://www.harvardartmuseums.org/collections/object/356338,0,Unchecked. Object information has not been verified for completeness and has not been vetted
8,,,1,7th-8th century,Vessels,57,0,,,0,,"Museum of Fine Arts, Boston. Bequest of Charles Bain Hoyt—Charles Bain Hoyt Collection",Chinese,665,670-750 CE,755,2018-08-10,2018-10-30,Department of Ancient and Byzantine Art & Numismatics,,4.8 × 12.6 cm (1 7/8 × 4 15/16 in.),,,1,0,356340,1,0,,2018-11-06T04:29:46-0500,0,0,Glazed earthenware,356340,TL41961.6,,0,"Tang dynasty, 618-907",372.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267724,,0,267029,0,,,,,,,Cup in the shape of a duck,1,10,9,https://www.harvardartmuseums.org/collections/object/356340,0,Unchecked. Object information has not been verified for completeness and has not been vetted
9,,,1,5th century BCE,Vessels,57,0,,,0,,"National Archaeological Institute and Museum, Sofia",Achaemenid,-485,c. 480 BCE,-475,2018-08-20,2018-11-03,Department of Ancient and Byzantine Art & Numismatics,,"27 × 13.4 cm (10 5/8 × 5 1/4 in.)
1344 g",,,1,0,356345,1,0,,2018-11-06T04:29:46-0500,0,0,"Silver, partially gilded",356345,TL41962.1,,0,Achaemenid period,3247.0,https://nrs.harvard.edu/urn-3:HUAM:LEG267729,,0,267034,0,,,,,,,Amphora pitcher with zoomorphic handles,1,10,10,https://www.harvardartmuseums.org/collections/object/356345,0,Unchecked. Object information has not been verified for completeness and has not been vetted
