Name	Image	Affiliation	City
Arnold Arboretum	/wiki/File:Arnold_Arboretum_-_Aug_2005_(a).JPG	Harvard University	Boston
Babcock Arboretum		Eastern Nazarene College	Quincy
Berkshire Botanical Garden	/wiki/File:Berkshire_Botanical_Garden_(herb_garden).JPG		Stockbridge
Boston Public Garden	/wiki/File:Public_Garden,_Boston.jpg		Boston
The Botanic Garden of Smith College	/wiki/File:Smith_botanic_garden_greenhouse.JPG	Smith College	Northampton
The Case Estates	/wiki/File:Case_Estates,_Weston,_MA_-_Rhododendron_Garden.JPG		Weston
Elm Bank Horticulture Center	/wiki/File:Elm_Bank,_Wellesley,_MA_-_Goddesses_and_Mansion.JPG		Wellesley
Garden in the Woods	/wiki/File:Garden_in_the_Woods_-_IMG_2462.JPG		Framingham
Harvard Botanic Gardens Apartments		Harvard University	Cambridge
Hadwen Arboretum	/wiki/File:Hadwen_Arboretum,_Worcester_MA.jpg		Worcester
Hebert Arboretum	/wiki/File:Hebert_Arboretum,_Pittsfield,_Massachusetts.JPG		Pittsfield
Heritage Museums and Gardens	/wiki/File:Heritage_Museum_and_Gardens_(3789207677).jpg		Sandwich
Polly Hill Arboretum	/wiki/File:Polly%27s_Playground.jpg		West Tisbury
Hunnewell Arboretum	/wiki/File:Hunnewell_Gardens_and_Arboretum_-_DSC09645.jpg		Wellesley
Mount Auburn Cemetery	/wiki/File:Mount_Auburn_Cemeter_-_Misc_View.JPG		Cambridge
Mount Holyoke College Botanic Garden	/wiki/File:Talcott_Greenhouse,_Mount_Holyoke_College,_South_Hadley_MA.jpg	Mount Holyoke College	South Hadley
Stanley Park of Westfield	/wiki/File:Stanley_Park_of_Westfield_-_Westfield,_MA_-_IMG_6488.JPG		Westfield
Stevens-Coolidge Place	/wiki/File:Stevens-Coolidge_Place,_Andover,_Massachusetts_(flower_garden).JPG		North Andover
Tower Hill Botanic Garden	/wiki/File:Tower_Hill_Botanic_Garden_-_systematic_garden.jpg	Worcester County Horticultural Society	Boylston
Wellesley College Botanic Gardens	/wiki/File:Seasonal_Display_House_-_Wellesley_College_-_DSC09724.JPG	Wellesley College	Wellesley
