accessionmethod,accessionyear,accesslevel,century,classification,classificationid,colorcount,colors,commentary,contact,contextualtextcount,copyright,creditline,culture,datebegin,dated,dateend,dateoffirstpageview,dateoflastpageview,department,description,details,dimensions,division,edition,exhibitioncount,groupcount,id,imagecount,imagepermissionlevel,images,labeltext,lastupdate,markscount,mediacount,medium,objectid,objectnumber,people,peoplecount,period,periodid,primaryimageurl,provenance,publicationcount,rank,relatedcount,seeAlso,signed,standardreferencenumber,state,style,technique,techniqueid,title,titlescount,totalpageviews,totaluniquepageviews,url,verificationlevel,verificationleveldescription,worktypes
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,1860-1868,1868,2009-11-22,2018-09-09,Department of Photographs,,,"photograph: 13.9 x 10.5 cm (5 1/2 x 4 1/8 in.)
page: 27.1 x 17.4 cm (10 11/16 x 6 7/8 in.)",European and American Art,,0,0,98543,0,0,,,2018-11-05T03:42:45-0500,1,0,Albumen silver print mounted on page.,98543,P1982.411.23,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}, {'alphasort': 'Leutze, Emanuel Gottlieb', 'birthplace': 'Schwäbisch-Gmünd, Germany', 'name': 'Emanuel Gottlieb Leutze', 'prefix': None, 'personid': 27162, 'gender': 'unknown', 'role': 'Sitter', 'displayorder': 2, 'culture': 'American', 'displaydate': '1816 - 1868', 'deathplace': 'Washington, DC', 'displayname': 'Emanuel Gottlieb Leutze'}, {'alphasort': 'Tuckerman, Henry Theodore', 'birthplace': None, 'name': 'Henry Theodore Tuckerman', 'prefix': None, 'personid': 23300, 'gender': 'male', 'role': 'Artist', 'displayorder': 3, 'culture': 'American', 'displaydate': '1813-1871', 'deathplace': None, 'displayname': 'Henry Theodore Tuckerman'}]",3,,,,,0,234020,1,,,,,,Albumen silver print,110.0,Emmanuel Leutze (1816-1868),2,24,16,https://www.harvardartmuseums.org/collections/object/98543,3,Good. Object is well described and information is vetted,"[{'worktypeid': '45', 'worktype': 'book page'}, {'worktypeid': '259', 'worktype': 'photograph'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,1860-1871,1871,2010-01-25,2016-06-29,Department of Photographs,,,"photograph: 19.5 x 12.2 cm (7 11/16 x 4 13/16 in.)
page: 27.1 x 17.4 cm (10 11/16 x 6 7/8 in.)",European and American Art,,0,0,98585,0,0,,,2018-11-05T03:42:46-0500,1,0,Albumen silver print mounted on page.,98585,P1982.411.8,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}, {'alphasort': 'Durand, Asher Brown', 'birthplace': 'Jefferson, NJ', 'name': 'Asher Brown Durand', 'prefix': None, 'personid': 29735, 'gender': 'unknown', 'role': 'Sitter', 'displayorder': 2, 'culture': 'American', 'displaydate': '1796-1886', 'deathplace': 'Maplewood, NJ', 'displayname': 'Asher Brown Durand'}, {'alphasort': 'Tuckerman, Henry Theodore', 'birthplace': None, 'name': 'Henry Theodore Tuckerman', 'prefix': 'Author:', 'personid': 23300, 'gender': 'male', 'role': 'Author', 'displayorder': 3, 'culture': 'American', 'displaydate': '1813-1871', 'deathplace': None, 'displayname': 'Author: Henry Theodore Tuckerman'}]",3,,,,,0,234005,1,,,,,,Albumen silver print,110.0,Asher Brown Durand (c. 1796-1886),2,8,7,https://www.harvardartmuseums.org/collections/object/98585,3,Good. Object is well described and information is vetted,"[{'worktypeid': '45', 'worktype': 'book page'}, {'worktypeid': '259', 'worktype': 'photograph'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,1860-1871,1871,2012-09-02,2017-03-18,Department of Photographs,,,"photograph: 19.5 x 12.2 cm (7 11/16 x 4 13/16 in.)
page: 27.1 x 17.4 cm (10 11/16 x 6 7/8 in.)",European and American Art,,0,0,98617,0,0,,,2018-11-05T03:42:46-0500,1,0,Albumen silver print mounted on page.,98617,P1982.411.16,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}, {'alphasort': 'Gray, Henry Peters', 'birthplace': 'New York, New York', 'name': 'Henry Peters Gray', 'prefix': None, 'personid': 51932, 'gender': 'unknown', 'role': 'Sitter', 'displayorder': 2, 'culture': 'American', 'displaydate': '1819 - 1877', 'deathplace': 'New York, New York', 'displayname': 'Henry Peters Gray'}, {'alphasort': 'Tuckerman, Henry Theodore', 'birthplace': None, 'name': 'Henry Theodore Tuckerman', 'prefix': 'Author:', 'personid': 23300, 'gender': 'male', 'role': 'Author', 'displayorder': 3, 'culture': 'American', 'displaydate': '1813-1871', 'deathplace': None, 'displayname': 'Author: Henry Theodore Tuckerman'}]",3,,,,,0,234013,1,,,,,,Albumen silver print,110.0,Henry Peters Gray (1819-1877),2,10,10,https://www.harvardartmuseums.org/collections/object/98617,3,Good. Object is well described and information is vetted,"[{'worktypeid': '259', 'worktype': 'photograph'}, {'worktypeid': '45', 'worktype': 'book page'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,c. 1865,1870,2012-08-20,2012-08-20,Department of Photographs,,,"album page: 17.8 x 22 cm (7 x 8 11/16 in.)
image: 11 x 15.4 cm (4 5/16 x 6 1/16 in.)",European and American Art,,0,0,98871,1,0,"[{'height': 763, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20490754', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV185819_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 20490754, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 301713, 'renditionnumber': 'INV185819'}]",,2018-11-05T03:42:47-0500,1,0,Albumen silver print on album page.,98871,P1982.408.16,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:INV185819_dynmc,,0,233928,1,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/98871', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Albumen silver print,110.0,Untitled (view of house labeled Ballingeir),2,1,1,https://www.harvardartmuseums.org/collections/object/98871,3,Good. Object is well described and information is vetted,"[{'worktypeid': '9', 'worktype': 'album page'}, {'worktypeid': '259', 'worktype': 'photograph'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,c. 1865,1870,,,Department of Photographs,,,"album page: 17.8 x 22 cm (7 x 8 11/16 in.)
image: 10.7 x 14.9 cm (4 3/16 x 5 7/8 in.)",European and American Art,,0,0,98885,1,0,"[{'height': 775, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20490753', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV185818_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 20490753, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 301712, 'renditionnumber': 'INV185818'}]",,2018-11-05T03:42:47-0500,1,0,Albumen silver print with highlighting on album page.,98885,P1982.408.15,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:INV185818_dynmc,,0,233927,1,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/98885', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Albumen silver print,110.0,Untitled (field with two men standing to right mountain in background labeled Mountain View Dals(?)),2,0,0,https://www.harvardartmuseums.org/collections/object/98885,3,Good. Object is well described and information is vetted,"[{'worktypeid': '259', 'worktype': 'photograph'}, {'worktypeid': '9', 'worktype': 'album page'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,c. 1865,1870,2014-09-28,2014-09-28,Department of Photographs,,,"album page: 17.8 x 22 cm (7 x 8 11/16 in.)
image: 10.5 x 15 cm (4 1/8 x 5 7/8 in.)",European and American Art,,0,0,98901,1,0,"[{'height': 750, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20490745', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV185810_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 20490745, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 301704, 'renditionnumber': 'INV185810'}]",,2018-11-05T03:42:47-0500,1,0,Albumen silver print on album page.,98901,P1982.408.7,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:INV185810_dynmc,,0,233919,1,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/98901', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Albumen silver print,110.0,Untitled (Auld Bridge of Dough),2,1,1,https://www.harvardartmuseums.org/collections/object/98901,3,Good. Object is well described and information is vetted,"[{'worktypeid': '259', 'worktype': 'photograph'}, {'worktypeid': '9', 'worktype': 'album page'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,c. 1865,1870,2018-08-13,2018-08-13,Department of Photographs,,,"album page: 17.8 x 22 cm (7 x 8 11/16 in.)
image: 10.8 x 15.1 cm (4 1/4 x 5 15/16 in.)",European and American Art,,0,0,98928,1,0,"[{'height': 759, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20490756', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV185821_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 20490756, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 301715, 'renditionnumber': 'INV185821'}]",,2018-11-05T03:42:48-0500,1,0,Albumen silver print with highlighting on album page.,98928,P1982.408.18,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:INV185821_dynmc,,0,233930,1,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/98928', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Albumen silver print,110.0,Untitled (view of house with nine figures in foreground labeled Ball(?) Manse),2,1,1,https://www.harvardartmuseums.org/collections/object/98928,3,Good. Object is well described and information is vetted,"[{'worktypeid': '259', 'worktype': 'photograph'}, {'worktypeid': '9', 'worktype': 'album page'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,c. 1865,1870,2010-02-14,2012-04-13,Department of Photographs,,,"album page: 17.8 x 22 cm (7 x 8 11/16 in.)
image: 10.1 x 14.9 cm (4 x 5 7/8 in.)",European and American Art,,0,0,98981,1,0,"[{'height': 763, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20490757', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV185822_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 20490757, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 301716, 'renditionnumber': 'INV185822'}]",,2018-11-05T03:42:48-0500,1,0,Albumen silver print with highlighting on album page.,98981,P1982.408.19,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:INV185822_dynmc,,0,233931,1,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/98981', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Albumen silver print,110.0,Untitled (landscape with stream or river labeled Dough(?) Glen),2,3,2,https://www.harvardartmuseums.org/collections/object/98981,3,Good. Object is well described and information is vetted,"[{'worktypeid': '9', 'worktype': 'album page'}, {'worktypeid': '259', 'worktype': 'photograph'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1860,c. 1865,1870,2012-08-31,2013-12-20,Department of Photographs,,,"album page: 17.8 x 22 cm (7 x 8 11/16 in.)
image: 9.8 x 14.5 cm (3 7/8 x 5 11/16 in.)",European and American Art,,0,0,98983,1,0,"[{'height': 760, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20490747', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV185812_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 20490747, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 301706, 'renditionnumber': 'INV185812'}]",,2018-11-05T03:42:48-0500,1,0,Albumen silver print highlighted with black ink on album page.,98983,P1982.408.9,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:INV185812_dynmc,,0,233921,1,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/98983', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Albumen silver print,110.0,Untitled (Ken Loch),2,2,2,https://www.harvardartmuseums.org/collections/object/98983,3,Good. Object is well described and information is vetted,"[{'worktypeid': '9', 'worktype': 'album page'}, {'worktypeid': '259', 'worktype': 'photograph'}]"
Purchase,1982.0,1,19th century,Photographs,17,0,,,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",Unidentified culture,1845,1845-1846,1846,2009-05-16,2017-02-08,Department of Photographs,,,"photograph: 13.9 x 10.8 cm (5 1/2 x 4 1/4 in.)
page: 27.1 x 17.4 cm (10 11/16 x 6 7/8 in.)",European and American Art,,0,0,99007,0,0,,,2018-11-05T03:42:48-0500,1,0,Albumen silver print mounted on page.,99007,P1982.411.37,"[{'alphasort': 'Unidentified Artist', 'birthplace': None, 'name': 'Unidentified Artist', 'prefix': None, 'personid': 34147, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': None, 'displaydate': None, 'deathplace': None, 'displayname': 'Unidentified Artist'}, {'alphasort': 'Inman, Henry', 'birthplace': 'Utica, NY', 'name': 'Henry Inman', 'prefix': None, 'personid': 26695, 'gender': 'unknown', 'role': 'Sitter', 'displayorder': 2, 'culture': 'American', 'displaydate': '1801 - 1846', 'deathplace': 'New York, NY', 'displayname': 'Henry Inman'}, {'alphasort': 'Tuckerman, Henry Theodore', 'birthplace': None, 'name': 'Henry Theodore Tuckerman', 'prefix': 'Author:', 'personid': 23300, 'gender': 'male', 'role': 'Author', 'displayorder': 3, 'culture': 'American', 'displaydate': '1813-1871', 'deathplace': None, 'displayname': 'Author: Henry Theodore Tuckerman'}]",3,,,,,0,234034,1,,,,,,Albumen silver print,110.0,Henry Inman (1801-1846),2,12,8,https://www.harvardartmuseums.org/collections/object/99007,3,Good. Object is well described and information is vetted,"[{'worktypeid': '259', 'worktype': 'photograph'}, {'worktypeid': '45', 'worktype': 'book page'}]"
